Date,montoSpei,numSpei,tc
1/1/2010,N/E,N/E,13.0659
2/1/2010,N/E,N/E,N/E
3/1/2010,N/E,N/E,N/E
4/1/2010,"211,122,550,064","154,874",N/E
5/1/2010,"211,717,879,774","158,161",12.9226
6/1/2010,"190,984,246,997","187,595",12.8241
7/1/2010,"190,662,904,887","185,901",12.7489
8/1/2010,"215,414,506,059","348,832",12.7646
9/1/2010,N/E,N/E,N/E
10/1/2010,N/E,N/E,N/E
11/1/2010,"183,357,436,520","177,564",12.7243
12/1/2010,"176,069,227,366","142,893",12.6692
13/01/2010,"171,223,448,705","142,674",12.7291
14/01/2010,"179,531,788,622","193,090",12.7698
15/01/2010,"201,493,550,856","311,772",12.7364
16/01/2010,N/E,N/E,N/E
17/01/2010,N/E,N/E,N/E
18/01/2010,"198,429,188,140","196,721",12.6884
19/01/2010,"174,822,211,456","159,573",12.6664
20/01/2010,"177,729,702,482","153,193",12.6478
21/01/2010,"165,953,467,102","160,258",12.7388
22/01/2010,"193,750,107,153","225,267",12.772
23/01/2010,N/E,N/E,N/E
24/01/2010,N/E,N/E,N/E
25/01/2010,"228,413,947,116","181,431",12.9412
26/01/2010,"236,035,510,371","158,423",12.9018
27/01/2010,"222,133,989,914","163,536",12.8549
28/01/2010,"228,393,406,915","220,494",12.9295
29/01/2010,"277,734,751,775","402,448",12.9975
30/01/2010,N/E,N/E,N/E
31/01/2010,N/E,N/E,N/E
1/2/2010,N/E,N/E,13.0098
2/2/2010,"239,768,349,344","232,929",N/E
3/2/2010,"215,931,159,033","183,134",12.8699
4/2/2010,"219,155,362,367","207,181",12.9395
5/2/2010,"219,640,320,715","271,549",13.0687
6/2/2010,N/E,N/E,N/E
7/2/2010,N/E,N/E,N/E
8/2/2010,"221,361,029,908","193,352",13.1753
9/2/2010,"190,146,232,614","176,355",13.164
10/2/2010,"188,399,009,112","181,654",13.0836
11/2/2010,"211,761,398,919","191,218",13.0601
12/2/2010,"205,404,656,882","319,856",13.0609
13/02/2010,N/E,N/E,N/E
14/02/2010,N/E,N/E,N/E
15/02/2010,"179,354,538,790","281,400",12.9764
16/02/2010,"186,902,079,859","193,443",12.942
17/02/2010,"185,834,176,306","182,498",12.8683
18/02/2010,"170,607,000,735","185,718",12.8781
19/02/2010,"185,019,746,853","259,893",12.8442
20/02/2010,N/E,N/E,N/E
21/02/2010,N/E,N/E,N/E
22/02/2010,"177,586,312,568","193,518",12.8337
23/02/2010,"211,874,813,151","179,065",12.8017
24/02/2010,"202,191,981,771","185,983",12.8584
25/02/2010,"236,743,047,564","243,219",12.8539
26/02/2010,"248,575,487,993","436,116",12.8503
27/02/2010,N/E,N/E,N/E
28/02/2010,N/E,N/E,N/E
1/3/2010,"207,837,743,010","242,692",12.7769
2/3/2010,"184,078,259,343","188,933",12.7454
3/3/2010,"176,413,696,086","187,595",12.7259
4/3/2010,"182,947,279,616","205,247",12.69
5/3/2010,"184,395,873,839","312,339",12.7182
6/3/2010,N/E,N/E,N/E
7/3/2010,N/E,N/E,N/E
8/3/2010,"173,778,942,240","204,792",12.6557
9/3/2010,"173,462,796,427","187,039",12.6618
10/3/2010,"175,619,282,611","203,404",12.6574
11/3/2010,"196,468,508,035","223,347",12.6028
12/3/2010,"179,131,107,592","394,538",12.6192
13/03/2010,N/E,N/E,N/E
14/03/2010,N/E,N/E,N/E
15/03/2010,N/E,N/E,12.5527
16/03/2010,"202,353,449,788","302,659",N/E
17/03/2010,"186,847,132,060","222,018",12.5254
18/03/2010,"190,016,644,384","210,460",12.4892
19/03/2010,"187,865,078,940","292,796",12.4729
20/03/2010,N/E,N/E,N/E
21/03/2010,N/E,N/E,N/E
22/03/2010,"168,984,421,973","202,037",12.5796
23/03/2010,"177,458,407,807","186,706",12.6052
24/03/2010,"187,843,500,024","186,617",12.5284
25/03/2010,"219,009,420,297","223,138",12.5381
26/03/2010,"232,816,799,587","314,440",12.5009
27/03/2010,N/E,N/E,N/E
28/03/2010,"21,922,183","1,474",N/E
29/03/2010,"233,080,905,165","230,389",12.5426
30/03/2010,"198,464,637,854","281,770",12.464
31/03/2010,"227,975,254,358","392,883",12.4145
1/4/2010,N/E,N/E,12.3306
2/4/2010,N/E,N/E,N/E
3/4/2010,N/E,N/E,N/E
4/4/2010,N/E,N/E,N/E
5/4/2010,"201,327,434,707","231,209",N/E
6/4/2010,"176,234,755,723","201,226",12.2658
7/4/2010,"159,487,421,538","208,255",12.2454
8/4/2010,"150,480,901,659","204,358",12.2218
9/4/2010,"159,346,631,259","288,364",12.2488
10/4/2010,N/E,N/E,N/E
11/4/2010,N/E,N/E,N/E
12/4/2010,"157,660,777,101","215,989",12.1997
13/04/2010,"166,785,379,065","190,736",12.1808
14/04/2010,"151,864,283,649","245,055",12.2122
15/04/2010,"178,428,322,466","303,025",12.1827
16/04/2010,"191,171,735,275","317,070",12.1934
17/04/2010,N/E,N/E,N/E
18/04/2010,N/E,N/E,N/E
19/04/2010,"190,949,100,547","225,514",12.2356
20/04/2010,"170,472,498,626","190,866",12.3064
21/04/2010,"145,021,100,456","183,800",12.2188
22/04/2010,"161,152,423,451","200,547",12.1896
23/04/2010,"202,592,880,134","289,334",12.2405
24/04/2010,N/E,N/E,N/E
25/04/2010,N/E,N/E,N/E
26/04/2010,"215,847,372,162","212,792",12.1973
27/04/2010,"191,704,767,819","193,754",12.1575
28/04/2010,"179,402,947,190","208,978",12.2278
29/04/2010,"193,173,488,464","282,818",12.3698
30/04/2010,"255,281,506,593","447,216",12.2465
1/5/2010,N/E,N/E,N/E
2/5/2010,N/E,N/E,N/E
3/5/2010,"207,322,183,359","212,776",12.2626
4/5/2010,"158,534,143,463","190,098",12.2605
5/5/2010,"126,280,967,092","208,964",12.4288
6/5/2010,"165,983,261,637","218,806",12.6635
7/5/2010,"168,986,994,299","307,691",12.7884
8/5/2010,N/E,N/E,N/E
9/5/2010,N/E,N/E,N/E
10/5/2010,"157,521,058,431","203,248",12.9179
11/5/2010,"180,634,159,737","183,214",12.5297
12/5/2010,"168,567,709,217","196,042",12.5025
13/05/2010,"184,369,486,891","229,162",12.4351
14/05/2010,"195,299,282,999","418,872",12.3501
15/05/2010,N/E,N/E,N/E
16/05/2010,N/E,N/E,N/E
17/05/2010,"192,834,294,350","260,100",12.5684
18/05/2010,"171,886,687,803","203,312",12.6926
19/05/2010,"161,156,322,596","198,079",12.5787
20/05/2010,"177,666,287,196","215,517",12.9138
21/05/2010,"193,481,036,611","293,846",13.1412
22/05/2010,N/E,N/E,N/E
23/05/2010,1,1,N/E
