Date,relacion mont/num,tc,montoSpei,numSpei
1/1/2010,#VALOR!,13.0659,N/E,N/E
2/1/2010,#VALOR!,N/E,N/E,N/E
3/1/2010,#VALOR!,N/E,N/E,N/E
4/1/2010,"1,363,189",N/E,"211,122,550,064","154,874"
5/1/2010,"1,338,623",12.9226,"211,717,879,774","158,161"
6/1/2010,"1,018,067",12.8241,"190,984,246,997","187,595"
7/1/2010,"1,025,615",12.7489,"190,662,904,887","185,901"
8/1/2010,"617,531",12.7646,"215,414,506,059","348,832"
9/1/2010,#VALOR!,N/E,N/E,N/E
10/1/2010,#VALOR!,N/E,N/E,N/E
11/1/2010,"1,032,627",12.7243,"183,357,436,520","177,564"
12/1/2010,"1,232,175",12.6692,"176,069,227,366","142,893"
13/01/2010,"1,200,103",12.7291,"171,223,448,705","142,674"
14/01/2010,"929,783",12.7698,"179,531,788,622","193,090"
15/01/2010,"646,285",12.7364,"201,493,550,856","311,772"
16/01/2010,#VALOR!,N/E,N/E,N/E
17/01/2010,#VALOR!,N/E,N/E,N/E
18/01/2010,"1,008,683",12.6884,"198,429,188,140","196,721"
19/01/2010,"1,095,563",12.6664,"174,822,211,456","159,573"
20/01/2010,"1,160,169",12.6478,"177,729,702,482","153,193"
21/01/2010,"1,035,539",12.7388,"165,953,467,102","160,258"
22/01/2010,"860,091",12.772,"193,750,107,153","225,267"
23/01/2010,#VALOR!,N/E,N/E,N/E
24/01/2010,#VALOR!,N/E,N/E,N/E
25/01/2010,"1,258,958",12.9412,"228,413,947,116","181,431"
26/01/2010,"1,489,907",12.9018,"236,035,510,371","158,423"
27/01/2010,"1,358,319",12.8549,"222,133,989,914","163,536"
28/01/2010,"1,035,826",12.9295,"228,393,406,915","220,494"
29/01/2010,"690,113",12.9975,"277,734,751,775","402,448"
30/01/2010,#VALOR!,N/E,N/E,N/E
31/01/2010,#VALOR!,N/E,N/E,N/E
1/2/2010,#VALOR!,13.0098,N/E,N/E
2/2/2010,"1,029,362",N/E,"239,768,349,344","232,929"
3/2/2010,"1,179,088",12.8699,"215,931,159,033","183,134"
4/2/2010,"1,057,797",12.9395,"219,155,362,367","207,181"
5/2/2010,"808,842",13.0687,"219,640,320,715","271,549"
6/2/2010,#VALOR!,N/E,N/E,N/E
7/2/2010,#VALOR!,N/E,N/E,N/E
8/2/2010,"1,144,860",13.1753,"221,361,029,908","193,352"
9/2/2010,"1,078,202",13.164,"190,146,232,614","176,355"
10/2/2010,"1,037,131",13.0836,"188,399,009,112","181,654"
11/2/2010,"1,107,434",13.0601,"211,761,398,919","191,218"
12/2/2010,"642,179",13.0609,"205,404,656,882","319,856"
13/02/2010,#VALOR!,N/E,N/E,N/E
14/02/2010,#VALOR!,N/E,N/E,N/E
15/02/2010,"637,365",12.9764,"179,354,538,790","281,400"
16/02/2010,"966,187",12.942,"186,902,079,859","193,443"
17/02/2010,"1,018,281",12.8683,"185,834,176,306","182,498"
18/02/2010,"918,635",12.8781,"170,607,000,735","185,718"
19/02/2010,"711,907",12.8442,"185,019,746,853","259,893"
20/02/2010,#VALOR!,N/E,N/E,N/E
21/02/2010,#VALOR!,N/E,N/E,N/E
22/02/2010,"917,673",12.8337,"177,586,312,568","193,518"
23/02/2010,"1,183,229",12.8017,"211,874,813,151","179,065"
24/02/2010,"1,087,153",12.8584,"202,191,981,771","185,983"
