Date,montoSpei,montoCodi,tc
1/1/2010,N/E,,13.0659
2/1/2010,N/E,,N/E
3/1/2010,N/E,,N/E
4/1/2010,"211,122,550,064",,N/E
5/1/2010,"211,717,879,774",,12.9226
6/1/2010,"190,984,246,997",,12.8241
7/1/2010,"190,662,904,887",,12.7489
8/1/2010,"215,414,506,059",,12.7646
9/1/2010,N/E,,N/E
10/1/2010,N/E,,N/E
11/1/2010,"183,357,436,520",,12.7243
12/1/2010,"176,069,227,366",,12.6692
13/01/2010,"171,223,448,705",,12.7291
14/01/2010,"179,531,788,622",,12.7698
15/01/2010,"201,493,550,856",,12.7364
16/01/2010,N/E,,N/E
17/01/2010,N/E,,N/E
18/01/2010,"198,429,188,140",,12.6884
19/01/2010,"174,822,211,456",,12.6664
20/01/2010,"177,729,702,482",,12.6478
21/01/2010,"165,953,467,102",,12.7388
22/01/2010,"193,750,107,153",,12.772
23/01/2010,N/E,,N/E
24/01/2010,N/E,,N/E
25/01/2010,"228,413,947,116",,12.9412
26/01/2010,"236,035,510,371",,12.9018
27/01/2010,"222,133,989,914",,12.8549
28/01/2010,"228,393,406,915",,12.9295
29/01/2010,"277,734,751,775",,12.9975
30/01/2010,N/E,,N/E
31/01/2010,N/E,,N/E
1/2/2010,N/E,,13.0098
2/2/2010,"239,768,349,344",,N/E
3/2/2010,"215,931,159,033",,12.8699
4/2/2010,"219,155,362,367",,12.9395
5/2/2010,"219,640,320,715",,13.0687
6/2/2010,N/E,,N/E
7/2/2010,N/E,,N/E
8/2/2010,"221,361,029,908",,13.1753
9/2/2010,"190,146,232,614",,13.164
10/2/2010,"188,399,009,112",,13.0836
11/2/2010,"211,761,398,919",,13.0601
12/2/2010,"205,404,656,882",,13.0609
13/02/2010,N/E,,N/E
14/02/2010,N/E,,N/E
15/02/2010,"179,354,538,790",,12.9764
16/02/2010,"186,902,079,859",,12.942
17/02/2010,"185,834,176,306",,12.8683
18/02/2010,"170,607,000,735",,12.8781
19/02/2010,"185,019,746,853",,12.8442
20/02/2010,N/E,,N/E
21/02/2010,N/E,,N/E
22/02/2010,"177,586,312,568",,12.8337
23/02/2010,"211,874,813,151",,12.8017
24/02/2010,"202,191,981,771",,12.8584
25/02/2010,"236,743,047,564",,12.8539
26/02/2010,"248,575,487,993",,12.8503
27/02/2010,N/E,,N/E
28/02/2010,N/E,,N/E
1/3/2010,"207,837,743,010",,12.7769
2/3/2010,"184,078,259,343",,12.7454
3/3/2010,"176,413,696,086",,12.7259
4/3/2010,"182,947,279,616",,12.69
5/3/2010,"184,395,873,839",,12.7182
6/3/2010,N/E,,N/E
7/3/2010,N/E,,N/E
8/3/2010,"173,778,942,240",,12.6557
9/3/2010,"173,462,796,427",,12.6618
10/3/2010,"175,619,282,611",,12.6574
11/3/2010,"196,468,508,035",,12.6028
12/3/2010,"179,131,107,592",,12.6192
13/03/2010,N/E,,N/E
14/03/2010,N/E,,N/E
15/03/2010,N/E,,12.5527
16/03/2010,"202,353,449,788",,N/E
17/03/2010,"186,847,132,060",,12.5254
18/03/2010,"190,016,644,384",,12.4892
19/03/2010,"187,865,078,940",,12.4729
20/03/2010,N/E,,N/E
21/03/2010,N/E,,N/E
22/03/2010,"168,984,421,973",,12.5796
23/03/2010,"177,458,407,807",,12.6052
24/03/2010,"187,843,500,024",,12.5284
25/03/2010,"219,009,420,297",,12.5381
26/03/2010,"232,816,799,587",,12.5009
27/03/2010,N/E,,N/E
28/03/2010,"21,922,183",,N/E
29/03/2010,"233,080,905,165",,12.5426
30/03/2010,"198,464,637,854",,12.464
31/03/2010,"227,975,254,358",,12.4145
1/4/2010,N/E,,12.3306
2/4/2010,N/E,,N/E
3/4/2010,N/E,,N/E
4/4/2010,N/E,,N/E
5/4/2010,"201,327,434,707",,N/E
6/4/2010,"176,234,755,723",,12.2658
7/4/2010,"159,487,421,538",,12.2454
8/4/2010,"150,480,901,659",,12.2218
9/4/2010,"159,346,631,259",,12.2488
10/4/2010,N/E,,N/E
11/4/2010,N/E,,N/E
12/4/2010,"157,660,777,101",,12.1997
13/04/2010,"166,785,379,065",,12.1808
14/04/2010,"151,864,283,649",,12.2122
15/04/2010,"178,428,322,466",,12.1827
16/04/2010,"191,171,735,275",,12.1934
17/04/2010,N/E,,N/E
18/04/2010,N/E,,N/E
19/04/2010,"190,949,100,547",,12.2356
20/04/2010,"170,472,498,626",,12.3064
21/04/2010,"145,021,100,456",,12.2188
22/04/2010,"161,152,423,451",,12.1896
23/04/2010,"202,592,880,134",,12.2405
24/04/2010,N/E,,N/E
25/04/2010,N/E,,N/E
26/04/2010,"215,847,372,162",,12.1973
27/04/2010,"191,704,767,819",,12.1575
28/04/2010,"179,402,947,190",,12.2278
29/04/2010,"193,173,488,464",,12.3698
30/04/2010,"255,281,506,593",,12.2465
1/5/2010,N/E,,N/E
2/5/2010,N/E,,N/E
3/5/2010,"207,322,183,359",,12.2626
4/5/2010,"158,534,143,463",,12.2605
5/5/2010,"126,280,967,092",,12.4288
6/5/2010,"165,983,261,637",,12.6635
7/5/2010,"168,986,994,299",,12.7884
8/5/2010,N/E,,N/E
9/5/2010,N/E,,N/E
10/5/2010,"157,521,058,431",,12.9179
11/5/2010,"180,634,159,737",,12.5297
12/5/2010,"168,567,709,217",,12.5025
13/05/2010,"184,369,486,891",,12.4351
14/05/2010,"195,299,282,999",,12.3501
15/05/2010,N/E,,N/E
16/05/2010,N/E,,N/E
17/05/2010,"192,834,294,350",,12.5684
18/05/2010,"171,886,687,803",,12.6926
19/05/2010,"161,156,322,596",,12.5787
20/05/2010,"177,666,287,196",,12.9138
21/05/2010,"193,481,036,611",,13.1412
22/05/2010,N/E,,N/E
23/05/2010,1,,N/E
24/05/2010,"202,155,087,351",,13.0338
25/05/2010,"197,229,802,507",,12.9588
26/05/2010,"205,295,914,931",,13.1819
27/05/2010,"209,371,680,483",,12.9955
28/05/2010,"243,464,551,749",,12.8846
29/05/2010,N/E,,N/E
30/05/2010,N/E,,N/E
31/05/2010,"198,273,474,042",,12.8589
1/6/2010,"191,453,505,612",,12.9146
2/6/2010,"165,491,434,578",,12.9012
3/6/2010,"174,163,668,611",,12.8625
4/6/2010,"182,482,547,202",,12.7644
5/6/2010,3,,N/E
6/6/2010,N/E,,N/E
7/6/2010,"173,812,641,048",,12.8603
8/6/2010,"215,135,961,130",,12.9202
9/6/2010,"144,916,233,242",,12.9288
10/6/2010,"208,059,065,932",,12.8093
11/6/2010,"188,649,739,659",,12.7441
12/6/2010,N/E,,N/E
13/06/2010,N/E,,N/E
14/06/2010,"196,854,920,127",,12.6748
15/06/2010,"169,918,841,585",,12.5974
16/06/2010,"156,588,254,002",,12.6001
17/06/2010,"190,935,697,717",,12.5878
18/06/2010,"157,622,965,117",,12.5925
19/06/2010,3,,N/E
20/06/2010,N/E,,N/E
21/06/2010,"147,763,298,953",,12.54
