Date,montoSpei,montoCodi,tc
1/1/2022,"5,714,915,388","2,632,731",N/E
2/1/2022,"6,494,280,673","3,411,004",N/E
3/1/2022,"521,151,422,401","6,570,275",20.4672
4/1/2022,"393,241,016,677","5,997,359",20.589
5/1/2022,"411,315,439,043","5,808,083",20.4742
6/1/2022,"399,554,529,092","6,082,629",20.3977
7/1/2022,"450,791,341,596","7,413,886",20.4588
8/1/2022,"10,252,454,060","4,004,507",N/E
9/1/2022,"4,818,199,776","2,833,827",N/E
10/1/2022,"539,584,816,978","13,678,822",20.4237
11/1/2022,"467,256,607,026","4,672,151",20.4453
12/1/2022,"439,182,476,972","5,067,738",20.3785
13/01/2022,"472,874,597,607","6,313,905",20.366
14/01/2022,"651,658,206,407","9,320,815",20.3607
15/01/2022,"14,107,045,355","4,767,688",N/E
16/01/2022,"6,297,776,951","2,901,981",N/E
17/01/2022,"584,336,926,803","6,342,145",20.3118
18/01/2022,"433,411,797,992","5,024,292",20.3002
19/01/2022,"403,429,427,541","4,690,357",20.403
20/01/2022,"446,918,529,753","5,173,173",20.46
21/01/2022,"463,663,213,154","5,690,731",20.4507
22/01/2022,"10,175,964,762","3,205,780",N/E
23/01/2022,"4,760,744,267","2,124,790",N/E
24/01/2022,"467,622,449,795","5,049,244",20.4598
25/01/2022,"425,396,605,611","4,936,052",20.6308
26/01/2022,"424,686,447,144","4,704,156",20.6683
27/01/2022,"486,648,281,475","4,911,223",20.6415
28/01/2022,"548,463,294,572","13,521,818",20.7383
29/01/2022,"14,002,777,651","4,498,875",N/E
30/01/2022,"6,143,359,453","3,345,766",N/E
31/01/2022,"721,231,861,738","9,653,016",20.8597
1/2/2022,"487,231,425,312","7,195,242",20.6352
2/2/2022,"427,781,460,774","6,319,288",20.58
3/2/2022,"430,759,295,764","5,870,876",20.6003
4/2/2022,"479,127,760,207","12,299,098",20.5562
5/2/2022,"10,709,090,547","3,680,914",N/E
6/2/2022,"4,933,802,059","2,355,414",N/E
7/2/2022,"10,133,145,996","6,421,028",N/E
8/2/2022,"531,739,383,322","6,773,435",20.7325
9/2/2022,"459,995,874,970","5,145,933",20.6413
10/2/2022,"504,121,336,306","13,262,292",20.5008
11/2/2022,"539,366,607,077","6,294,652",20.4148
