Date,dia,mes ,ano,montoSpid,montoSpei,montoCodi,tc,,,,,
1/9/2019,1,9,2019,19003.2,591819872132.00,187009,19.6808,,,,,
1/10/2019,1,10,2019,19127.1,378225617243.00,624991,19.252,,,,,
1/11/2019,1,11,2019,17797.8,389619007172.50,1318162.5,19.29325,,,,,
1/12/2019,1,12,2019,20995.6,472787235105.50,1479427.5,19.00785,,,,,
1/1/2020,1,1,2020,18610.6,382082385402.50,1195516.5,18.80495,,,,,
1/2/2020,1,2,2020,16769.2,374547445320.00,1400757,18.6797,,,,,
1/3/2020,1,3,2020,20382.6,466434536748.00,1941456,22.1518,,,,,
1/4/2020,1,4,2020,20041,418910650409.00,2171126.5,24.16265,,,,,
1/5/2020,1,5,2020,18385.6,371502088306.00,2901749,23.7574,,,,,
1/6/2020,1,6,2020,14691.6,385854298364.00,3057336,22.3065,,,,,
1/7/2020,1,7,2020,16613.5,367574243137.00,3983504,22.4147,,,,,
1/8/2020,1,8,2020,15094.6,383151749156.00,3627391,22.176,,,,,
1/9/2020,1,9,2020,16380.4,413331820972.00,3830200,21.6115,,,,,
1/10/2020,1,10,2020,17528.9,419714195209.50,3664644,21.25905,,419714195209.5000,3664644.0000,21.2591,
1/11/2020,1,11,2020,18661,441311088233.00,4706823,20.36,,,,,
1/12/2020,1,12,2020,20216.3,490600893180.00,5701045.5,19.95425,,,,,
1/1/2021,1,1,2021,16849.6,413042562720.00,4451257,19.90935,,,,,
1/2/2021,1,2,2021,16920.7,414233543921.00,4999659,20.2023,,,,,
1/3/2021,1,3,2021,25179.8,457880904065.50,5427490.5,20.7018,,,,,
1/4/2021,1,4,2021,20775.7,445115048570.00,5600174.5,20.0184,,,,,
1/5/2021,1,5,2021,22744.3,439459701262.00,5547174,19.9223,,,,,
1/6/2021,1,6,2021,23520.8,471617403257.00,4865218.5,19.9245,,,,,
1/7/2021,1,7,2021,24729.5,449255100524.00,4879204.5,19.9714,,,,,
1/8/2021,1,8,2021,23728.2,452270529206.50,4565153.5,20.0072,,,,,
1/9/2021,1,9,2021,23777.2,447598451871.00,5175174,19.9703,,,,,
1/10/2021,1,10,2021,22998.3,450775333472.00,4711672,20.5103,,,,,
1/11/2021,1,11,2021,25565.6,506826874475.50,5470474,20.786,,,,,
1/12/2021,1,12,2021,30474.9,531624633375.00,7100367,20.9238,,,,,
1/1/2022,1,1,2022,25115.2,463663213154.00,5808083,20.4588,,,,,
1/2/2022,1,2,2022,26114.7,495677148120.00,6319288,20.4188,,,,,
1/3/2022,1,3,2022,31944.3,539691638820.00,6690750,20.6309,,,,,
1/4/2022,1,4,2022,35670.8,512132673832.00,6433580,20.0447,,,,,
1/5/2022,1,5,2022,31295.5,519253219519.00,6582967,20.09335,,,,,
1/6/2022,1,6,2022,35689.1,554011889888.00,7240121,19.9572,,,,,
1/7/2022,1,7,2022,32390.5,514213259581.00,6931161,20.512,,,,,
1/8/2022,1,8,2022,33964.2,522628341220.00,7426255,20.0835,,,,,
1/9/2022,1,9,2022,31569.2,540306456034.00,7890792,20.0297,,,,,
1/10/2022,1,10,2022,26629.1,530619887752.00,7955439,20.0008,,,,,
1/11/2022,1,11,2022,28774.3,607666004683.00,9568114,19.449,,,,,
1/12/2022,1,12,2022,32249,659240860611.00,10999981,19.6732,,,,,
1/1/2023,1,1,2023,29776.6,532988144191.50,9729811,18.8996,,,,,
1/2/2023,1,2,2023,27520.5,562423714302.00,11760144,18.6232,,,,,
1/3/2023,1,3,2023,37060.3,590227187256.00,11979237.5,18.3639,,,,,
1/4/2023,1,4,2023,30003.3,560829364357.50,11979137,18.06915,,,,,
1/5/2023,1,5,2023,36023,563628080116.50,13589187.5,17.7475,,,,,
1/6/2023,1,6,2023,39507.7,578399871136.50,11834577.5,17.1919,,,,,
1/7/2023,1,7,2023,39373,578739435870.00,11061483,16.8905,,,,,
1/8/2023,1,8,2023,40177,558839162799.00,11019101,17.0193,,,,,
1/9/2023,1,9,2023,39855.1,564528572298.00,10614936,17.175,,,,,
1/10/2023,1,10,2023,37911.9,581185411576.50,11841113.5,18.0696,,,,,
1/11/2023,1,11,2023,39205.9,637465756895.50,14193732,17.3652,,,,,
1/12/2023,1,12,2023,40773.5,752194868293.00,15306175,17.2277,,,,,
1/1/2024,1,1,2024,39493.1,600331994516.00,13164785.5,17.08085,,,,,
1/2/2024,1,2,2024,37283.4,627129680934.00,14759952,17.09085,,,,,
1/3/2024,1,3,2024,37719.3,687413468136.50,15307539,16.8034,,,,,
1/4/2024,1,4,2024,42405.9,629618761697.50,15396020,16.6754,,,,,
1/5/2024,1,5,2024,41961.8,622057086873.00,16655307,16.7881,,,,,
1/6/2024,1,6,2024,40700.2,664792724491.00,14934022.5,18.31975,,,,,
1/7/2024,1,7,2024,42625.1,625726020889.00,12083370,18.0958,,,,,
1/8/2024,1,8,2024,40037.6,614711761329.00,12133523,19.0575,,,,,
1/9/2024,1,9,2024,37215.3,635290002689.50,12082577,19.64125,,,,,
1/10/2024,1,10,2024,40178.6,623737524136.00,11924561,19.73825,,,,,
1/11/2024,1,11,2024,39868.7,664880264582.00,12326198.5,20.3434,,,,,
1/12/2024,1,12,2024,43655.3,825740833057.00,12885340.5,20.2119,,,,,
1/1/2025,1,1,2025,43742.7,698480227926.00,12923603.5,20.5549,,,,,
1/2/2025,1,2,2025,38906.5,654170411309.00,13079699,20.4683,,,,,
1/3/2025,1,3,2025,43535,704136700936.50,13152341,20.247,,,,,
1/4/2025,1,4,2025,43839.1,703187393653.00,13480325,20.0619,,,,,
1/5/2025,1,5,2025,41317.3,689163480214.00,12122725,19.4373,,,,,
1/6/2025,1,6,2025,40019.4,683830146751.00,12424892,19.0518,,,,,
1/7/2025,1,7,2025,45647.8,664716464513.00,12108438,18.714,,,,,
1/8/2025,1,8,2025,37835.6,667815410837.00,12684922,18.6912,,,,,
