Date,montoSpid,montoSpei,montoCodi,tc
1/10/2019,19127.10,8593774440204.00,16462731.00,19.252
1/11/2019,17797.80,8008363248854.00,28662686.00,19.2933
1/12/2019,20995.60,9415216981494.00,30189382.00,19.0079
1/1/2020,18610.60,8563080396589.00,29040271.00,18.805
1/2/2020,16769.20,7461715858905.00,29920832.00,18.6797
1/3/2020,20382.60,9822058167944.00,46617113.00,22.1518
1/4/2020,20041.00,8636332018296.00,44714059.00,24.1627
1/5/2020,18385.60,7739580224334.00,60313113.00,23.7574
1/6/2020,14691.60,8477671826834.00,75136803.00,22.3065
1/7/2020,16613.50,8807530512260.00,95204664.00,22.4147
1/8/2020,15094.60,8414485492016.00,82753175.00,22.176
1/9/2020,16380.40,8920402436968.00,80619501.00,21.6115
1/10/2020,17528.90,9415786650459.00,84735041.00,21.2591
1/11/2020,18661.00,8814239465178.00,92864716.00,20.36
1/12/2020,20216.30,10680859192776.00,130123856.00,19.9543
1/1/2021,16849.60,8593530442698.00,95597678.00,19.9094
1/2/2021,16920.70,8256782419636.00,100712704.00,20.2023
1/3/2021,25179.80,10590069279133.00,129465960.00,20.7018
1/4/2021,20775.70,9276907129876.00,117844830.00,20.0184
1/5/2021,22744.30,9674763324228.00,125961535.00,19.9223
1/6/2021,23520.80,10576431781996.00,112236616.00,19.9245
1/7/2021,24729.50,10213643616876.00,115202332.00,19.9714
1/8/2021,23728.20,10006876895395.00,112593824.00,20.0072
1/9/2021,23777.20,9809902960962.00,111212129.00,19.9703
1/10/2021,22998.30,9971233218620.00,114914764.00,20.5103
1/11/2021,25565.60,10408254186485.00,123647994.00,20.786
1/12/2021,30474.90,12719006880701.00,169088927.00,20.9238
1/1/2022,25115.20,10152419289377.00,140621870.00,20.4588
1/2/2022,26114.70,9758756439074.00,142706989.00,20.4188
1/3/2022,31944.30,11917255946271.00,163571461.00,20.6309
1/4/2022,35670.80,10081575948038.00,147147229.00,20.0447
1/5/2022,31295.50,11692999501745.00,164947391.00,20.0934
1/6/2022,35689.10,12095508339826.00,166065896.00,19.9572
1/7/2022,32390.50,11183398927887.00,166177440.00,20.512
1/8/2022,33964.20,12472028381631.00,186791802.00,20.0835
1/9/2022,31569.20,11686048217047.00,184681142.00,20.0297
1/10/2022,26629.10,11636007095786.00,189908050.00,20.0008
1/11/2022,28774.30,12152865013862.00,208016129.00,19.449
1/12/2022,32249.00,14209484403600.00,255255121.00,19.6732
1/1/2023,29776.60,12259896571654.00,242039731.00,18.8996
1/2/2023,27520.50,11045294527687.00,232396373.00,18.6232
1/3/2023,37060.30,13525339623572.00,320003615.00,18.3639
1/4/2023,30003.30,10750023996568.00,229630258.00,18.0692
1/5/2023,36023.00,12903257840941.00,320733343.00,17.7475
1/6/2023,39507.70,13027006381007.00,281354407.00,17.1919
1/7/2023,39373.00,12712764560525.00,252019728.00,16.8905
1/8/2023,40177.00,13142134031626.00,274096366.00,17.0193
1/9/2023,39855.10,12431248104362.00,259710521.00,17.175
1/10/2023,37911.90,13172704659396.00,279615692.00,18.0696
1/11/2023,39205.90,12884604073891.00,316478536.00,17.3652
1/12/2023,40773.50,13833028175810.00,317197750.00,17.2277
1/1/2024,39493.10,13437909531844.00,309750006.00,17.0809
1/2/2024,37283.40,12739915374522.00,327265311.00,17.0909
1/3/2024,37719.30,12727571728201.00,310833596.00,16.8034
1/4/2024,42405.90,14391768559544.00,392688549.00,16.6754
1/5/2024,41961.80,14068608790245.00,387150368.00,16.7881
1/6/2024,40700.20,13594251588271.00,358189758.00,18.3198
1/7/2024,42625.10,14678364921205.00,291262275.00,18.0958
1/8/2024,40037.60,13716333576905.00,298557431.00,19.0575
1/9/2024,37215.30,13492076213753.00,265747087.00,19.6413
1/10/2024,40178.60,13821673733876.00,294947432.00,19.7383
1/11/2024,39868.70,13957124356369.00,287865644.00,20.3434
1/12/2024,43655.30,16738999204017.00,264807887.00,20.2119
1/1/2025,43742.70,15026487476903.00,288319537.00,20.5549
1/2/2025,38906.50,12857779979610.00,259899576.00,20.4683
1/3/2025,43535.00,14686794694240.00,271484196.00,20.247
1/4/2025,43839.10,14278289188817.00,275663102.00,20.0619
1/5/2025,41317.30,14900447371474.00,264776548.00,19.4373
1/6/2025,40019.40,14755461103717.00,291784682.00,19.0518
1/7/2025,45647.80,15305551047268.00,274857593.00,18.714
1/8/2025,37835.60,14256759408683.00,260739612.00,18.6912
