Date,Value
01/01/2010,13.0659
02/01/2010,N/E
03/01/2010,N/E
04/01/2010,N/E
05/01/2010,12.9226
06/01/2010,12.8241
07/01/2010,12.7489
08/01/2010,12.7646
09/01/2010,N/E
10/01/2010,N/E
11/01/2010,12.7243
12/01/2010,12.6692
13/01/2010,12.7291
14/01/2010,12.7698
15/01/2010,12.7364
16/01/2010,N/E
17/01/2010,N/E
18/01/2010,12.6884
19/01/2010,12.6664
20/01/2010,12.6478
21/01/2010,12.7388
22/01/2010,12.7720
23/01/2010,N/E
24/01/2010,N/E
25/01/2010,12.9412
26/01/2010,12.9018
27/01/2010,12.8549
28/01/2010,12.9295
29/01/2010,12.9975
30/01/2010,N/E
31/01/2010,N/E
01/02/2010,13.0098
02/02/2010,N/E
03/02/2010,12.8699
04/02/2010,12.9395
05/02/2010,13.0687
06/02/2010,N/E
07/02/2010,N/E
08/02/2010,13.1753
09/02/2010,13.1640
10/02/2010,13.0836
11/02/2010,13.0601
12/02/2010,13.0609
13/02/2010,N/E
14/02/2010,N/E
15/02/2010,12.9764
16/02/2010,12.9420
17/02/2010,12.8683
18/02/2010,12.8781
19/02/2010,12.8442
20/02/2010,N/E
21/02/2010,N/E
22/02/2010,12.8337
23/02/2010,12.8017
24/02/2010,12.8584
25/02/2010,12.8539
26/02/2010,12.8503
27/02/2010,N/E
28/02/2010,N/E
01/03/2010,12.7769
02/03/2010,12.7454
03/03/2010,12.7259
04/03/2010,12.6900
05/03/2010,12.7182
06/03/2010,N/E
07/03/2010,N/E
08/03/2010,12.6557
09/03/2010,12.6618
10/03/2010,12.6574
11/03/2010,12.6028
12/03/2010,12.6192
13/03/2010,N/E
14/03/2010,N/E
15/03/2010,12.5527
16/03/2010,N/E
17/03/2010,12.5254
18/03/2010,12.4892
19/03/2010,12.4729
20/03/2010,N/E
21/03/2010,N/E
22/03/2010,12.5796
23/03/2010,12.6052
24/03/2010,12.5284
25/03/2010,12.5381
26/03/2010,12.5009
27/03/2010,N/E
28/03/2010,N/E
29/03/2010,12.5426
30/03/2010,12.4640
31/03/2010,12.4145
01/04/2010,12.3306
02/04/2010,N/E
03/04/2010,N/E
04/04/2010,N/E
05/04/2010,N/E
06/04/2010,12.2658
07/04/2010,12.2454
08/04/2010,12.2218
09/04/2010,12.2488
10/04/2010,N/E
11/04/2010,N/E
12/04/2010,12.1997
13/04/2010,12.1808
14/04/2010,12.2122
15/04/2010,12.1827
16/04/2010,12.1934
17/04/2010,N/E
18/04/2010,N/E
19/04/2010,12.2356
20/04/2010,12.3064
21/04/2010,12.2188
22/04/2010,12.1896
23/04/2010,12.2405
24/04/2010,N/E
25/04/2010,N/E
26/04/2010,12.1973
27/04/2010,12.1575
28/04/2010,12.2278
29/04/2010,12.3698
30/04/2010,12.2465
01/05/2010,N/E
02/05/2010,N/E
03/05/2010,12.2626
04/05/2010,12.2605
05/05/2010,12.4288
06/05/2010,12.6635
07/05/2010,12.7884
08/05/2010,N/E
09/05/2010,N/E
10/05/2010,12.9179
11/05/2010,12.5297
12/05/2010,12.5025
13/05/2010,12.4351
14/05/2010,12.3501
15/05/2010,N/E
16/05/2010,N/E
17/05/2010,12.5684
18/05/2010,12.6926
19/05/2010,12.5787
20/05/2010,12.9138
21/05/2010,13.1412
22/05/2010,N/E
23/05/2010,N/E
24/05/2010,13.0338
25/05/2010,12.9588
26/05/2010,13.1819
27/05/2010,12.9955
28/05/2010,12.8846
29/05/2010,N/E
30/05/2010,N/E
31/05/2010,12.8589
01/06/2010,12.9146
02/06/2010,12.9012
03/06/2010,12.8625
